"","CustomerID","recency","frequenci","monitery","Recency_group","Frequency_group","mon_value_group","log_recency","log_frequency","log_monitery"
"24","12373",334,1,364.6,"oldest","very rare","large",5.8111409929767,0,5.89880086224456
"25","12374",48,1,742.93,"recent","very rare","very large",3.87120101090789,0,6.61060182762806
"26","12375",33,2,228.75,"very recent","rare","medium",3.49650756146648,0.693147180559945,5.43262970415563
"27","12377",338,2,814.06,"oldest","rare","very large",5.82304589548302,0.693147180559945,6.7020340733598
"28","12378",152,1,4008.62,"old","very rare","very large",5.02388052084628,0,8.2962023214201
"29","12379",104,2,426.12,"old","rare","large",4.64439089914137,0.693147180559945,6.054720996743
"30","12380",44,4,681.2025,"recent","frequent","very large",3.78418963391826,1.38629436111989,6.52385961877593
"31","12381",27,5,369.062,"very recent","frequent","large",3.29583686600433,1.6094379124341,5.91096465160668
"32","12383",207,5,370.112,"oldest","frequent","large",5.33271879326537,1.6094379124341,5.91380566253575
"33","12384",51,2,292.635,"recent","rare","medium",3.93182563272433,0.693147180559945,5.67892609865733
"34","12386",360,2,200.95,"oldest","rare","medium",5.88610403145016,0.693147180559945,5.30305612089521
"35","12388",38,6,463.443333333333,"very recent","frequent","very large",3.63758615972639,1.79175946922805,6.13868411935126
"36","12390",102,1,549.84,"old","very rare","very large",4.62497281328427,0,6.30962732681335
"37","12391",44,1,460.89,"recent","very rare","very large",3.78418963391826,0,6.13315940281068
"38","12393",95,4,395.65,"old","frequent","large",4.55387689160054,1.38629436111989,5.9805299820552
"39","12394",86,2,636.24,"old","rare","very large",4.45434729625351,0.693147180559945,6.45557585064888
"40","12395",42,12,251.5525,"recent","very frequent","medium",3.73766961828337,2.484906649788,5.52765171526997
"41","12397",58,2,1204.95,"recent","rare","very large",4.06044301054642,0.693147180559945,7.09419335128793
"42","12398",68,1,1635.66,"recent","very rare","very large",4.21950770517611,0,7.39980167160342
"43","12399",142,4,277.1625,"old","frequent","medium",4.95582705760126,1.38629436111989,5.62460397677911
"44","12401",326,1,84.3,"oldest","very rare","small",5.78689738136671,0,4.43438186500781
"45","12402",346,1,225.6,"oldest","very rare","medium",5.84643877505772,0,5.4187635196239
"46","12403",72,1,427.7,"recent","very rare","large",4.27666611901606,0,6.05842201523286
"47","12405",171,1,1710.39,"oldest","very rare","very large",5.14166355650266,0,7.4444766936681
"48","12406",45,2,1707.65,"recent","rare","very large",3.80666248977032,0.693147180559945,7.44287343531716
"49","12407",72,5,341.624,"recent","frequent","large",4.27666611901606,1.6094379124341,5.83371071705771
"50","12408",55,5,577.71,"recent","frequent","very large",4.00733318523247,1.6094379124341,6.35907201265991
"51","12409",101,3,3690.89,"old","rare","very large",4.61512051684126,1.09861228866811,8.21362290036428
"52","12410",331,2,346.665,"oldest","rare","large",5.80211837537706,0.693147180559945,5.84835889576344
"53","12412",97,3,408.96,"old","rare","large",4.57471097850338,1.09861228866811,6.01361735174912
"54","12413",89,3,252.7,"old","rare","medium",4.48863636973214,1.09861228866811,5.53220301439415
"55","12414",240,3,187.47,"oldest","rare","medium",5.48063892334199,1.09861228866811,5.2336188326091
"56","12415",47,21,5948.31095238095,"recent","very frequent","very large",3.85014760171006,3.04452243772342,8.69086258469053
"57","12417",26,9,405.455555555556,"very recent","frequent","large",3.25809653802148,2.19722457733622,6.00501126349315
"58","12418",135,1,668.58,"old","very rare","very large",4.90527477843843,0,6.50515606028702
"59","12420",86,1,600.39,"old","very rare","very large",4.45434729625351,0,6.39757944405764
"60","12421",38,4,201.76,"very recent","frequent","medium",3.63758615972639,1.38629436111989,5.30707887221661
"61","12422",118,3,267.853333333333,"old","rare","medium",4.77068462446567,1.09861228866811,5.59043956702584
"62","12423",23,8,232.41375,"very recent","frequent","medium",3.13549421592915,2.07944154167984,5.44851918845992
"63","12424",185,2,880.48,"oldest","rare","very large",5.22035582507832,0.693147180559945,6.78046721331145
"64","12425",101,1,777.2,"old","very rare","very large",4.61512051684126,0,6.65569771750329
"65","12426",217,1,582.73,"oldest","very rare","very large",5.37989735354046,0,6.3677239572926
"66","12427",44,3,275.266666666667,"recent","rare","medium",3.78418963391826,1.09861228866811,5.61774032478388
"67","12428",48,9,884.051111111111,"recent","frequent","very large",3.87120101090789,2.19722457733622,6.78451487896524
"68","12429",32,4,937.6,"very recent","frequent","very large",3.46573590279973,1.38629436111989,6.84332341882275
"69","12430",66,1,256.4,"recent","very rare","medium",4.18965474202643,0,5.54673872504651
"70","12431",58,15,432.496666666667,"recent","very frequent","very large",4.06044301054642,2.70805020110221,6.06957461921314
"71","12432",65,5,1011.864,"recent","frequent","very large",4.17438726989564,1.6094379124341,6.91954945346484
"72","12433",23,7,1910.83857142857,"very recent","frequent","very large",3.13549421592915,1.94591014905531,7.55529746732242
"73","12434",107,2,403.07,"old","rare","large",4.67282883446191,0.693147180559945,5.99911024413353
"74","12435",102,2,3914.945,"old","rare","very large",4.62497281328427,0.693147180559945,8.27255655979493
"75","12436",122,1,509.01,"old","very rare","very large",4.80402104473326,0,6.23246766272296
"76","12437",24,18,275.078333333333,"very recent","very frequent","medium",3.17805383034795,2.89037175789616,5.61705590558979
"77","12438",37,2,1453.425,"very recent","rare","very large",3.61091791264422,0.693147180559945,7.28167811908042
"78","12441",389,1,173.55,"oldest","very rare","small",5.96357934361845,0,5.1564657423078
"79","12442",26,1,172.06,"very recent","very rare","small",3.25809653802148,0,5.1478432531932
"80","12444",44,5,1001.092,"recent","frequent","very large",3.78418963391826,1.6094379124341,6.90884668318384
"81","12445",45,1,133.4,"recent","very rare","small",3.80666248977032,0,4.89335213348152
"82","12446",80,1,1002.31,"old","very rare","very large",4.38202663467388,0,6.91006261503383
"83","12447",266,1,476.49,"oldest","very rare","very large",5.5834963087817,0,6.16644673651517
"84","12448",67,1,449.45,"recent","very rare","very large",4.20469261939097,0,6.10802461301941
"85","12449",45,4,1016.8225,"recent","frequent","very large",3.80666248977032,1.38629436111989,6.92443784787589
"86","12450",179,2,98.94,"oldest","rare","small",5.18738580584075,0.693147180559945,4.59451360579956
"87","12451",33,5,1807.104,"very recent","frequent","very large",3.49650756146648,1.6094379124341,7.4994808428929
"88","12452",39,2,215.285,"very recent","rare","medium",3.66356164612965,0.693147180559945,5.37196273171565
"89","12453",157,1,707.09,"old","very rare","very large",5.05624580534831,0,6.56115795623894
"90","12454",79,1,3528.34,"old","very rare","very large",4.36944785246702,0,8.1685827843653
"91","12455",96,6,411.143333333333,"old","frequent","large",4.56434819146784,1.79175946922805,6.01894189660305
"92","12456",67,3,1060.34666666667,"recent","rare","very large",4.20469261939097,1.09861228866811,6.96635117766403
"93","12457",89,7,337.604285714286,"old","frequent","large",4.48863636973214,1.94591014905531,5.82187445729255
"94","12458",94,2,473.7,"old","rare","very large",4.54329478227,0.693147180559945,6.16057420992971
"95","12461",117,2,413.44,"old","rare","large",4.76217393479776,0.693147180559945,6.02451240115418
"96","12462",41,2,594.795,"recent","rare","very large",3.71357206670431,0.693147180559945,6.38821680836371
"97","12463",76,4,336.195,"old","frequent","large",4.33073334028633,1.38629436111989,5.81769134876398
"98","12464",33,8,151.50625,"very recent","frequent","small",3.49650756146648,2.07944154167984,5.02062687822391
"99","12465",40,2,371.095,"very recent","rare","large",3.68887945411394,0.693147180559945,5.91645809451849
"100","12468",210,2,364.77,"oldest","rare","large",5.34710753071747,0.693147180559945,5.89926701797644
"101","12471",25,30,660.801666666667,"very recent","very frequent","very large",3.2188758248682,3.40119738166216,6.49345374439891
"102","12472",55,7,938.872857142857,"recent","frequent","very large",4.00733318523247,1.94591014905531,6.84468006763676
"103","12473",52,5,787.71,"recent","frequent","very large",3.95124371858143,1.6094379124341,6.66913000181722
"104","12474",40,18,409.766111111111,"very recent","very frequent","large",3.68887945411394,2.89037175789616,6.01558653621913
"105","12475",76,1,723.38,"old","very rare","very large",4.33073334028633,0,6.58393467191435
"106","12476",38,11,619.674545454545,"very recent","very frequent","very large",3.63758615972639,2.39789527279837,6.42919441353067
"107","12477",45,6,2203.29,"recent","frequent","very large",3.80666248977032,1.79175946922805,7.69770697681327
"108","12478",26,1,680.99,"very recent","very rare","very large",3.25809653802148,0,6.52354762175389
"109","12479",34,1,527.2,"very recent","very rare","very large",3.52636052461616,0,6.2675799831883
"110","12480",51,4,820.4075,"recent","frequent","very large",3.93182563272433,1.38629436111989,6.70980116803845
"111","12481",45,10,559.632,"recent","frequent","very large",3.80666248977032,2.30258509299405,6.32727942485905
"112","12483",40,8,310.6225,"very recent","frequent","large",3.68887945411394,2.07944154167984,5.73857834852877
"113","12484",55,6,756.953333333333,"recent","frequent","very large",4.00733318523247,1.79175946922805,6.6293016046856
"114","12488",32,3,432.886666666667,"very recent","rare","very large",3.46573590279973,1.09861228866811,6.0704759539428
"115","12489",359,1,334.93,"oldest","very rare","large",5.88332238848828,0,5.813921554767
"116","12490",28,10,541.793,"very recent","frequent","very large",3.3322045101752,2.30258509299405,6.29488400967089
"117","12491",61,1,460.4,"recent","very rare","very large",4.11087386417331,0,6.13209567684773
"118","12492",86,2,131.605,"old","rare","small",4.45434729625351,0.693147180559945,4.87980501209044
"119","12493",188,2,216.87,"oldest","rare","medium",5.23644196282995,0.693147180559945,5.37929809568032
"120","12494",38,7,178.014285714286,"very recent","frequent","small",3.63758615972639,1.94591014905531,5.18186380389351
"121","12497",104,1,1043.1,"old","very rare","very large",4.64439089914137,0,6.94995232768193
"122","12498",44,3,134.566666666667,"recent","rare","small",3.78418963391826,1.09861228866811,4.90205973919079
"123","12500",46,11,387.074545454545,"recent","very frequent","large",3.8286413964891,2.39789527279837,5.95861729839373
"124","12501",359,1,2169.39,"oldest","very rare","very large",5.88332238848828,0,7.68220130102603
"125","12502",118,5,744.774,"old","frequent","very large",4.77068462446567,1.6094379124341,6.61308081665321
"126","12504",41,2,241.025,"recent","rare","medium",3.71357206670431,0.693147180559945,5.48490066255044
"127","12506",255,1,73.5,"oldest","very rare","small",5.54126354515843,0,4.29728540621879
"128","12507",157,3,434.936666666667,"old","rare","very large",5.05624580534831,1.09861228866811,6.07520042661914
"129","12508",49,2,199.135,"recent","rare","medium",3.89182029811063,0.693147180559945,5.29398298668048
"130","12509",307,1,176.5,"oldest","very rare","small",5.7268477475872,0,5.17332087637335
"131","12510",165,2,491.285,"oldest","rare","very large",5.10594547390058,0.693147180559945,6.19702440746488
"132","12512",89,2,69.015,"old","rare","small",4.48863636973214,0.693147180559945,4.23432387227554
"133","12513",135,1,612.29,"old","very rare","very large",4.90527477843843,0,6.41720602648708
"134","12514",290,1,1017.68,"oldest","very rare","very large",5.66988092298052,0,6.92528080584796
"135","12515",376,1,383.7,"oldest","very rare","large",5.92958914338989,0,5.94986099725291
"136","12516",100,2,656.03,"old","rare","very large",4.60517018598809,0.693147180559945,6.48620651960574
"137","12517",51,5,500.568,"recent","frequent","very large",3.93182563272433,1.6094379124341,6.21574345366244
"138","12518",23,5,411.378,"very recent","frequent","large",3.13549421592915,1.6094379124341,6.01951249985314
"139","12519",86,1,340.84,"old","very rare","large",4.45434729625351,0,5.83141315895976
"140","12520",102,5,526.852,"old","frequent","very large",4.62497281328427,1.6094379124341,6.26691967418524
"141","12521",165,1,599.68,"oldest","very rare","very large",5.10594547390058,0,6.39639617961
"142","12522",62,2,96.36,"recent","rare","small",4.12713438504509,0.693147180559945,4.56809117774667
"143","12523",42,11,162.706363636364,"recent","very frequent","small",3.73766961828337,2.39789527279837,5.09194712616056
"144","12524",32,8,560.715,"very recent","frequent","very large",3.46573590279973,2.07944154167984,6.32921275504573
"145","12526",23,3,438.886666666667,"very recent","rare","very large",3.13549421592915,1.09861228866811,6.08424121725499
"146","12527",104,3,116.236666666667,"old","rare","small",4.64439089914137,1.09861228866811,4.75562834254895
"147","12528",32,6,322.246666666667,"very recent","frequent","large",3.46573590279973,1.79175946922805,5.77531729782993
"148","12530",82,4,415.57,"old","frequent","large",4.40671924726425,1.38629436111989,6.02965107182655
"149","12531",37,1,125.22,"very recent","very rare","small",3.61091791264422,0,4.83007219031716
"150","12532",53,1,349.83,"recent","very rare","large",3.97029191355212,0,5.85744732220035
"151","12534",153,1,1089.18,"old","very rare","very large",5.03043792139244,0,6.9931803985304
"152","12535",114,2,358.175,"old","rare","large",4.7361984483945,0.693147180559945,5.88102169377944
"153","12536",66,3,4200.61,"recent","rare","very large",4.18965474202643,1.09861228866811,8.34298503182067
"154","12538",52,1,363.95,"recent","very rare","large",3.95124371858143,0,5.89701649556427
"155","12539",45,4,1392.0875,"recent","frequent","very large",3.80666248977032,1.38629436111989,7.23855969811421
"156","12540",42,17,788.249411764706,"recent","very frequent","very large",3.73766961828337,2.83321334405622,6.66981455217016
"157","12541",52,3,327.06,"recent","rare","large",3.95124371858143,1.09861228866811,5.79014364030424
"158","12544",59,1,372.7,"recent","very rare","large",4.07753744390572,0,5.92077380648521
"159","12545",98,2,500.195,"old","rare","very large",4.58496747867057,0.693147180559945,6.21499802239196
"160","12546",69,2,580.75,"recent","rare","very large",4.23410650459726,0.693147180559945,6.36432037165052
"161","12547",220,2,103.9,"oldest","rare","small",5.39362754635236,0.693147180559945,4.64342889810518
"162","12548",189,1,95.2,"oldest","very rare","small",5.24174701505964,0,4.55597994179732
"163","12550",102,1,964.83,"old","very rare","very large",4.62497281328427,0,6.87195192001686
"164","12551",380,1,168,"oldest","very rare","small",5.94017125272043,0,5.12396397940326
"165","12552",61,2,218.91,"recent","rare","medium",4.11087386417331,0.693147180559945,5.38866068644564
"166","12553",31,10,369.228,"very recent","frequent","large",3.43398720448515,2.30258509299405,5.91141433940632
"167","12556",73,2,301.855,"recent","rare","large",4.29045944114839,0.693147180559945,5.70994676962405
"168","12557",39,5,2398.192,"very recent","frequent","very large",3.66356164612965,1.6094379124341,7.78247039910456
"169","12558",30,1,269.96,"very recent","very rare","medium",3.40119738166216,0,5.59827379987521
"170","12559",333,2,280.855,"oldest","rare","medium",5.80814248998044,0.693147180559945,5.63783852191771
"171","12560",28,3,711.336666666667,"very recent","rare","very large",3.3322045101752,1.09861228866811,6.56714582921822
"172","12561",325,1,238.85,"oldest","very rare","medium",5.78382518232974,0,5.47583573983597
"173","12562",31,7,540.248571428571,"very recent","frequent","very large",3.43398720448515,1.94591014905531,6.29202935110506
"174","12564",284,1,456.9,"oldest","very rare","very large",5.64897423816121,0,6.12446454856923
"175","12565",311,1,145.92,"oldest","very rare","small",5.73979291217923,0,4.98305852632602
"176","12566",109,1,351.65,"old","very rare","large",4.69134788222914,0,5.86263636275403
"177","12567",45,10,940.128,"recent","frequent","very large",3.80666248977032,2.30258509299405,6.84601603620649
"178","12569",25,32,128.8965625,"very recent","very frequent","small",3.2188758248682,3.46573590279973,4.85901024162989
"179","12571",62,2,259.805,"recent","rare","medium",4.12713438504509,0.693147180559945,5.55993134962482
"180","12572",31,2,510.21,"very recent","rare","very large",3.43398720448515,0.693147180559945,6.23482240567243
"181","12573",250,1,160.54,"oldest","very rare","small",5.52146091786225,0,5.07854313270343
"182","12574",338,1,218.45,"oldest","very rare","medium",5.82304589548302,0,5.38655715539744
"183","12576",58,5,263.166,"recent","frequent","medium",4.06044301054642,1.6094379124341,5.57278501177549
"184","12577",58,3,219.266666666667,"recent","rare","medium",4.06044301054642,1.09861228866811,5.39028864508685
"185","12578",44,2,1397.255,"recent","rare","very large",3.78418963391826,0.693147180559945,7.24226487660109
"186","12579",101,1,440.42,"old","very rare","very large",4.61512051684126,0,6.08772881707805
"187","12580",269,1,415.7,"oldest","very rare","large",5.59471137960184,0,6.02996384625859
"188","12581",62,1,197.71,"recent","very rare","medium",4.12713438504509,0,5.28680131058679
"189","12582",261,2,255.68,"oldest","rare","medium",5.56452040732269,0.693147180559945,5.54392666257791
"190","12583",25,15,485.425333333333,"very recent","very frequent","very large",3.2188758248682,2.70805020110221,6.18502548256377
"191","12584",26,9,259.794444444444,"very recent","frequent","medium",3.25809653802148,2.19722457733622,5.55989072003728
"192","12585",257,2,1020.05,"oldest","rare","very large",5.54907608489522,0.693147180559945,6.92760692468474
"193","12586",40,1,196.94,"very recent","very rare","medium",3.68887945411394,0,5.28289911381966
"194","12587",30,1,144,"very recent","very rare","small",3.40119738166216,0,4.969813299576
"195","12588",62,1,214.9,"recent","very rare","medium",4.12713438504509,0,5.37017280364846
"196","12589",51,2,323.34,"recent","rare","large",3.93182563272433,0.693147180559945,5.77870440117346
"197","12590",234,2,4932.13,"oldest","rare","very large",5.4553211153577,0.693147180559945,8.50352622241212
"198","12591",340,1,452.85,"oldest","very rare","very large",5.82894561761021,0,6.11556094482096
"199","12592",115,2,218.8,"old","rare","medium",4.74493212836325,0.693147180559945,5.38815807054783
"200","12593",131,3,139.366666666667,"old","rare","small",4.87519732320115,1.09861228866811,4.93710834969441
"201","12594",60,10,333.822,"recent","frequent","large",4.0943445622221,2.30258509299405,5.8106079167851
"202","12596",74,2,309.135,"old","rare","large",4.30406509320417,0.693147180559945,5.73377807469158
"203","12597",42,4,952.805,"recent","frequent","very large",3.73766961828337,1.38629436111989,6.85941026571834
"204","12598",32,8,377.885,"very recent","frequent","large",3.46573590279973,2.07944154167984,5.93458991652717
"205","12599",52,7,147.511428571429,"recent","frequent","small",3.95124371858143,1.94591014905531,4.9939056546185
"206","12600",51,10,259.904,"recent","frequent","medium",3.93182563272433,2.30258509299405,5.56031233206383
"207","12601",212,5,115.412,"oldest","frequent","small",5.35658627467201,1.6094379124341,4.748508334803
"208","12602",81,1,153.12,"old","very rare","small",4.39444915467244,0,5.03122192770464
"209","12603",44,1,739.2,"recent","very rare","very large",3.78418963391826,0,6.60556852032747
"210","12604",102,2,127.09,"old","rare","small",4.62497281328427,0.693147180559945,4.84489549689398
"211","12607",83,1,1579.51,"old","very rare","very large",4.4188406077966,0,7.36486995133954
"212","12609",101,3,375.616666666667,"old","rare","large",4.61512051684126,1.09861228866811,5.92856911979657
"213","12610",45,5,419.908,"recent","frequent","large",3.80666248977032,1.6094379124341,6.04003563966393
"214","12611",75,1,1193.32,"old","very rare","very large",4.31748811353631,0,7.08449461747986
"215","12612",97,1,704.04,"old","very rare","very large",4.57471097850338,0,6.55683517272577
"216","12613",80,5,668.876,"old","frequent","very large",4.38202663467388,1.6094379124341,6.50559869167801
"217","12614",300,1,315.6,"oldest","very rare","large",5.7037824746562,0,5.75447558897172
"218","12615",25,4,572.7975,"very recent","frequent","very large",3.2188758248682,1.38629436111989,6.35053225111177
"219","12616",118,2,356.65,"old","rare","large",4.77068462446567,0.693147180559945,5.87675490872405
"220","12617",52,1,355.53,"recent","very rare","large",3.95124371858143,0,5.87360963386847
"221","12618",44,1,177.31,"recent","very rare","small",3.78418963391826,0,5.1778996130689
"222","12619",39,9,404.582222222222,"very recent","frequent","large",3.66356164612965,2.19722457733622,6.00285498462401
"223","12620",37,3,446.47,"very recent","rare","very large",3.61091791264422,1.09861228866811,6.10137220880953
"224","12621",24,20,684.4835,"very recent","very frequent","very large",3.17805383034795,2.99573227355399,6.5286645392517
"225","12622",255,1,180.1,"oldest","very rare","medium",5.54126354515843,0,5.19351225218191
"226","12623",299,1,305.1,"oldest","very rare","large",5.70044357339069,0,5.72063959172262
"227","12624",129,2,320.565,"old","rare","large",4.85981240436167,0.693147180559945,5.77008506391026
"228","12625",234,2,1341.91,"oldest","rare","very large",5.4553211153577,0.693147180559945,7.20184925119927
"229","12626",46,9,735.608888888889,"recent","frequent","very large",3.8286413964891,2.19722457733622,6.60069857651916
"230","12627",33,7,639.79,"very recent","frequent","very large",3.49650756146648,1.94591014905531,6.46113999750893
"231","12628",27,3,262.153333333333,"very recent","rare","medium",3.29583686600433,1.09861228866811,5.56892957430422
"232","12630",32,2,635.44,"very recent","rare","very large",3.46573590279973,0.693147180559945,6.45431767232488
"233","12631",80,1,640.5,"old","very rare","very large",4.38202663467388,0,6.46224912133679
"234","12633",81,4,540.995,"old","frequent","very large",4.39444915467244,1.38629436111989,6.2934100366596
"235","12635",112,2,844.59,"old","rare","very large",4.71849887129509,0.693147180559945,6.73885130250553
"236","12637",90,8,752.7375,"old","frequent","very large",4.49980967033027,2.07944154167984,6.62371656144515
"237","12638",56,1,671.69,"recent","very rare","very large",4.02535169073515,0,6.50979692456337
"238","12639",261,1,486.1,"oldest","very rare","very large",5.56452040732269,0,6.18641436405141
"239","12640",46,3,391.526666666667,"recent","rare","large",3.8286413964891,1.09861228866811,5.9700536272023
"240","12641",138,1,185.9,"old","very rare","medium",4.92725368515721,0,5.2252088947274
"241","12642",48,3,337.753333333333,"recent","rare","large",3.87120101090789,1.09861228866811,5.82231584602428
"242","12643",151,6,557.44,"old","frequent","very large",5.01727983681492,1.79175946922805,6.32335487422408
"243","12644",152,1,477.91,"old","very rare","very large",5.02388052084628,0,6.16942243024487
"244","12645",56,4,443.795,"recent","frequent","very large",4.02535169073515,1.38629436111989,6.09536274409884
"245","12646",27,2,673.485,"very recent","rare","very large",3.29583686600433,0.693147180559945,6.51246572388748
"246","12647",45,12,310.235,"recent","very frequent","large",3.80666248977032,2.484906649788,5.73733007480954
"247","12648",177,1,318.05,"oldest","very rare","large",5.17614973257383,0,5.76220860312481
"248","12649",130,3,207.836666666667,"old","rare","medium",4.86753445045558,1.09861228866811,5.33675251481575
"249","12650",26,1,314.44,"very recent","very rare","large",3.25809653802148,0,5.75079327892556
"250","12651",357,1,114,"oldest","very rare","small",5.87773578177964,0,4.7361984483945
"251","12652",354,1,919.98,"oldest","very rare","very large",5.86929691313377,0,6.82435193067635
"252","12653",171,2,1104.925,"oldest","rare","very large",5.14166355650266,0.693147180559945,7.00753273834519
"253","12654",33,5,120.396,"very recent","frequent","small",3.49650756146648,1.6094379124341,4.79078630973148
"254","12656",40,5,810.234,"very recent","frequent","very large",3.68887945411394,1.6094379124341,6.69732309483501
"255","12657",34,4,410.795,"very recent","frequent","large",3.52636052461616,1.38629436111989,6.0180943066074
"256","12658",41,1,686.05,"recent","very rare","very large",3.71357206670431,0,6.53095051136718
"257","12659",52,1,91.68,"recent","very rare","small",3.95124371858143,0,4.51830425296643
"258","12660",34,1,245.1,"very recent","very rare","medium",3.52636052461616,0,5.50166629053407
"259","12662",23,11,349.98,"very recent","very frequent","large",3.13549421592915,2.39789527279837,5.8578760099936
"260","12664",31,9,542.431111111111,"very recent","frequent","very large",3.43398720448515,2.19722457733622,6.29606109322446
"261","12665",347,1,63,"oldest","very rare","small",5.84932477994686,0,4.14313472639153
"262","12667",81,1,620.13,"old","very rare","very large",4.39444915467244,0,6.42992913347925
"263","12668",34,4,951.7875,"very recent","frequent","very large",3.52636052461616,1.38629436111989,6.85834179558963
"264","12669",173,3,914.676666666667,"oldest","rare","very large",5.15329159449778,1.09861228866811,6.81857063306251
"265","12670",33,5,599.21,"very recent","frequent","very large",3.49650756146648,1.6094379124341,6.39561212098231
"266","12672",352,1,225.9,"oldest","very rare","medium",5.8636311755981,0,5.42009242347396
"267","12673",28,2,305.26,"very recent","rare","large",3.3322045101752,0.693147180559945,5.72116387248698
"268","12674",61,4,492.65,"recent","frequent","very large",4.11087386417331,1.38629436111989,6.19979898276848
"269","12676",47,6,221.898333333333,"recent","frequent","medium",3.85014760171006,1.79175946922805,5.40221931901955
"270","12678",65,12,1469.03833333333,"recent","very frequent","very large",4.17438726989564,2.484906649788,7.29236327068252
"271","12679",81,4,278.255,"old","frequent","medium",4.39444915467244,1.38629436111989,5.62853795944614
"272","12680",23,4,215.7025,"very recent","frequent","medium",3.13549421592915,1.38629436111989,5.37390014349948
"273","12681",37,22,626.706363636364,"very recent","very frequent","very large",3.61091791264422,3.09104245335832,6.44047811137784
"274","12682",26,31,396.394193548387,"very recent","very frequent","large",3.25809653802148,3.43398720448515,5.98240915438787
"275","12683",27,15,565.104666666667,"very recent","very frequent","very large",3.29583686600433,2.70805020110221,6.3370109647271
"276","12684",30,7,326.232857142857,"very recent","frequent","large",3.40119738166216,1.94591014905531,5.78761141210036
"277","12685",51,6,477.18,"recent","frequent","very large",3.93182563272433,1.79175946922805,6.1678937781971
"278","12686",394,1,89.14,"oldest","very rare","small",5.97635090929793,0,4.49020816751841
"279","12688",136,1,4873.81,"old","very rare","very large",4.91265488573605,0,8.49163125106996
"280","12689",48,2,623.805,"recent","rare","very large",3.87120101090789,0.693147180559945,6.43583781953113
"281","12690",228,1,389.01,"oldest","very rare","large",5.42934562895444,0,5.9636050502289
"282","12691",51,6,172.633333333333,"recent","frequent","small",3.93182563272433,1.79175946922805,5.15116988476174
"283","12693",150,4,213.9775,"old","frequent","medium",5.01063529409626,1.38629436111989,5.36587086930732
"284","12694",93,2,434.835,"old","rare","very large",4.53259949315326,0.693147180559945,6.07496664878749
"285","12695",30,4,145.525,"very recent","frequent","small",3.40119738166216,1.38629436111989,4.9803478931578
"286","12697",51,3,319.196666666667,"recent","rare","large",3.93182563272433,1.09861228866811,5.76580742274753
"287","12700",30,4,1234.9975,"very recent","frequent","very large",3.40119738166216,1.38629436111989,7.11882422476853
"288","12701",102,2,398.855,"old","rare","large",4.62497281328427,0.693147180559945,5.98859794231968
"289","12702",42,1,219,"recent","very rare","medium",3.73766961828337,0,5.3890717298165
"290","12703",94,1,283.55,"old","very rare","medium",4.54329478227,0,5.64738847446004
"291","12704",30,8,292.605,"very recent","frequent","medium",3.40119738166216,2.07944154167984,5.67882357661501
"292","12705",38,9,763.143333333333,"very recent","frequent","very large",3.63758615972639,2.19722457733622,6.63744586860042
"293","12707",314,1,603.42,"oldest","very rare","very large",5.74939298590825,0,6.40261347168444
