"","CustomerID","recency","frequenci","monitery","Recency_group","Frequency_group","mon_value_group"
"77","12438",37,2,1453.425,"very recent","rare","very large"
"78","12441",389,1,173.55,"oldest","very rare","small"
"79","12442",26,1,172.06,"very recent","very rare","small"
"80","12444",44,5,1001.092,"recent","frequent","very large"
"81","12445",45,1,133.4,"recent","very rare","small"
"82","12446",80,1,1002.31,"old","very rare","very large"
"83","12447",266,1,476.49,"oldest","very rare","very large"
"84","12448",67,1,449.45,"recent","very rare","very large"
"85","12449",45,4,1016.8225,"recent","frequent","very large"
"86","12450",179,2,98.94,"oldest","rare","small"
"87","12451",33,5,1807.104,"very recent","frequent","very large"
"88","12452",39,2,215.285,"very recent","rare","medium"
"89","12453",157,1,707.09,"old","very rare","very large"
"90","12454",79,1,3528.34,"old","very rare","very large"
"91","12455",96,6,411.143333333333,"old","frequent","large"
"92","12456",67,3,1060.34666666667,"recent","rare","very large"
"93","12457",89,7,337.604285714286,"old","frequent","large"
"94","12458",94,2,473.7,"old","rare","very large"
"95","12461",117,2,413.44,"old","rare","large"
"96","12462",41,2,594.795,"recent","rare","very large"
"97","12463",76,4,336.195,"old","frequent","large"
"98","12464",33,8,151.50625,"very recent","frequent","small"
"99","12465",40,2,371.095,"very recent","rare","large"
"100","12468",210,2,364.77,"oldest","rare","large"
"101","12471",25,30,660.801666666667,"very recent","very frequent","very large"
"102","12472",55,7,938.872857142857,"recent","frequent","very large"
"103","12473",52,5,787.71,"recent","frequent","very large"
"104","12474",40,18,409.766111111111,"very recent","very frequent","large"
"105","12475",76,1,723.38,"old","very rare","very large"
"106","12476",38,11,619.674545454545,"very recent","very frequent","very large"
"107","12477",45,6,2203.29,"recent","frequent","very large"
"108","12478",26,1,680.99,"very recent","very rare","very large"
"109","12479",34,1,527.2,"very recent","very rare","very large"
"110","12480",51,4,820.4075,"recent","frequent","very large"
"111","12481",45,10,559.632,"recent","frequent","very large"
"112","12483",40,8,310.6225,"very recent","frequent","large"
"113","12484",55,6,756.953333333333,"recent","frequent","very large"
"114","12488",32,3,432.886666666667,"very recent","rare","very large"
"115","12489",359,1,334.93,"oldest","very rare","large"
"116","12490",28,10,541.793,"very recent","frequent","very large"
"117","12491",61,1,460.4,"recent","very rare","very large"
"118","12492",86,2,131.605,"old","rare","small"
"119","12493",188,2,216.87,"oldest","rare","medium"
"120","12494",38,7,178.014285714286,"very recent","frequent","small"
"121","12497",104,1,1043.1,"old","very rare","very large"
"122","12498",44,3,134.566666666667,"recent","rare","small"
"123","12500",46,11,387.074545454545,"recent","very frequent","large"
"124","12501",359,1,2169.39,"oldest","very rare","very large"
"125","12502",118,5,744.774,"old","frequent","very large"
"126","12504",41,2,241.025,"recent","rare","medium"
"127","12506",255,1,73.5,"oldest","very rare","small"
"128","12507",157,3,434.936666666667,"old","rare","very large"
"129","12508",49,2,199.135,"recent","rare","medium"
"130","12509",307,1,176.5,"oldest","very rare","small"
"131","12510",165,2,491.285,"oldest","rare","very large"
"132","12512",89,2,69.015,"old","rare","small"
"133","12513",135,1,612.29,"old","very rare","very large"
"134","12514",290,1,1017.68,"oldest","very rare","very large"
"135","12515",376,1,383.7,"oldest","very rare","large"
"136","12516",100,2,656.03,"old","rare","very large"
"137","12517",51,5,500.568,"recent","frequent","very large"
"138","12518",23,5,411.378,"very recent","frequent","large"
"139","12519",86,1,340.84,"old","very rare","large"
"140","12520",102,5,526.852,"old","frequent","very large"
"141","12521",165,1,599.68,"oldest","very rare","very large"
"142","12522",62,2,96.36,"recent","rare","small"
"143","12523",42,11,162.706363636364,"recent","very frequent","small"
"144","12524",32,8,560.715,"very recent","frequent","very large"
"145","12526",23,3,438.886666666667,"very recent","rare","very large"
"146","12527",104,3,116.236666666667,"old","rare","small"
"147","12528",32,6,322.246666666667,"very recent","frequent","large"
"148","12530",82,4,415.57,"old","frequent","large"
"149","12531",37,1,125.22,"very recent","very rare","small"
"150","12532",53,1,349.83,"recent","very rare","large"
"151","12534",153,1,1089.18,"old","very rare","very large"
"152","12535",114,2,358.175,"old","rare","large"
"153","12536",66,3,4200.61,"recent","rare","very large"
"154","12538",52,1,363.95,"recent","very rare","large"
"155","12539",45,4,1392.0875,"recent","frequent","very large"
"156","12540",42,17,788.249411764706,"recent","very frequent","very large"
"157","12541",52,3,327.06,"recent","rare","large"
"158","12544",59,1,372.7,"recent","very rare","large"
"159","12545",98,2,500.195,"old","rare","very large"
"160","12546",69,2,580.75,"recent","rare","very large"
"161","12547",220,2,103.9,"oldest","rare","small"
"162","12548",189,1,95.2,"oldest","very rare","small"
"163","12550",102,1,964.83,"old","very rare","very large"
"164","12551",380,1,168,"oldest","very rare","small"
"165","12552",61,2,218.91,"recent","rare","medium"
"166","12553",31,10,369.228,"very recent","frequent","large"
"167","12556",73,2,301.855,"recent","rare","large"
"168","12557",39,5,2398.192,"very recent","frequent","very large"
"169","12558",30,1,269.96,"very recent","very rare","medium"
"170","12559",333,2,280.855,"oldest","rare","medium"
"171","12560",28,3,711.336666666667,"very recent","rare","very large"
"172","12561",325,1,238.85,"oldest","very rare","medium"
"173","12562",31,7,540.248571428571,"very recent","frequent","very large"
"174","12564",284,1,456.9,"oldest","very rare","very large"
"175","12565",311,1,145.92,"oldest","very rare","small"
"176","12566",109,1,351.65,"old","very rare","large"
"177","12567",45,10,940.128,"recent","frequent","very large"
"178","12569",25,32,128.8965625,"very recent","very frequent","small"
"179","12571",62,2,259.805,"recent","rare","medium"
"180","12572",31,2,510.21,"very recent","rare","very large"
"181","12573",250,1,160.54,"oldest","very rare","small"
"182","12574",338,1,218.45,"oldest","very rare","medium"
"183","12576",58,5,263.166,"recent","frequent","medium"
"184","12577",58,3,219.266666666667,"recent","rare","medium"
"185","12578",44,2,1397.255,"recent","rare","very large"
"186","12579",101,1,440.42,"old","very rare","very large"
"187","12580",269,1,415.7,"oldest","very rare","large"
"188","12581",62,1,197.71,"recent","very rare","medium"
"189","12582",261,2,255.68,"oldest","rare","medium"
"190","12583",25,15,485.425333333333,"very recent","very frequent","very large"
"191","12584",26,9,259.794444444444,"very recent","frequent","medium"
"192","12585",257,2,1020.05,"oldest","rare","very large"
"193","12586",40,1,196.94,"very recent","very rare","medium"
"194","12587",30,1,144,"very recent","very rare","small"
"195","12588",62,1,214.9,"recent","very rare","medium"
"196","12589",51,2,323.34,"recent","rare","large"
"197","12590",234,2,4932.13,"oldest","rare","very large"
"198","12591",340,1,452.85,"oldest","very rare","very large"
"199","12592",115,2,218.8,"old","rare","medium"
"200","12593",131,3,139.366666666667,"old","rare","small"
"201","12594",60,10,333.822,"recent","frequent","large"
"202","12596",74,2,309.135,"old","rare","large"
"203","12597",42,4,952.805,"recent","frequent","very large"
"204","12598",32,8,377.885,"very recent","frequent","large"
"205","12599",52,7,147.511428571429,"recent","frequent","small"
"206","12600",51,10,259.904,"recent","frequent","medium"
"207","12601",212,5,115.412,"oldest","frequent","small"
"208","12602",81,1,153.12,"old","very rare","small"
"209","12603",44,1,739.2,"recent","very rare","very large"
"210","12604",102,2,127.09,"old","rare","small"
"211","12607",83,1,1579.51,"old","very rare","very large"
"212","12609",101,3,375.616666666667,"old","rare","large"
"213","12610",45,5,419.908,"recent","frequent","large"
"214","12611",75,1,1193.32,"old","very rare","very large"
"215","12612",97,1,704.04,"old","very rare","very large"
"216","12613",80,5,668.876,"old","frequent","very large"
"217","12614",300,1,315.6,"oldest","very rare","large"
"218","12615",25,4,572.7975,"very recent","frequent","very large"
"219","12616",118,2,356.65,"old","rare","large"
"220","12617",52,1,355.53,"recent","very rare","large"
"221","12618",44,1,177.31,"recent","very rare","small"
"222","12619",39,9,404.582222222222,"very recent","frequent","large"
"223","12620",37,3,446.47,"very recent","rare","very large"
"224","12621",24,20,684.4835,"very recent","very frequent","very large"
"225","12622",255,1,180.1,"oldest","very rare","medium"
"226","12623",299,1,305.1,"oldest","very rare","large"
"227","12624",129,2,320.565,"old","rare","large"
"228","12625",234,2,1341.91,"oldest","rare","very large"
"229","12626",46,9,735.608888888889,"recent","frequent","very large"
"230","12627",33,7,639.79,"very recent","frequent","very large"
"231","12628",27,3,262.153333333333,"very recent","rare","medium"
"232","12630",32,2,635.44,"very recent","rare","very large"
"233","12631",80,1,640.5,"old","very rare","very large"
"234","12633",81,4,540.995,"old","frequent","very large"
"235","12635",112,2,844.59,"old","rare","very large"
"236","12637",90,8,752.7375,"old","frequent","very large"
"237","12638",56,1,671.69,"recent","very rare","very large"
"238","12639",261,1,486.1,"oldest","very rare","very large"
"239","12640",46,3,391.526666666667,"recent","rare","large"
"240","12641",138,1,185.9,"old","very rare","medium"
"241","12642",48,3,337.753333333333,"recent","rare","large"
"242","12643",151,6,557.44,"old","frequent","very large"
"243","12644",152,1,477.91,"old","very rare","very large"
"244","12645",56,4,443.795,"recent","frequent","very large"
"245","12646",27,2,673.485,"very recent","rare","very large"
"246","12647",45,12,310.235,"recent","very frequent","large"
"247","12648",177,1,318.05,"oldest","very rare","large"
"248","12649",130,3,207.836666666667,"old","rare","medium"
"249","12650",26,1,314.44,"very recent","very rare","large"
"250","12651",357,1,114,"oldest","very rare","small"
"251","12652",354,1,919.98,"oldest","very rare","very large"
"252","12653",171,2,1104.925,"oldest","rare","very large"
"253","12654",33,5,120.396,"very recent","frequent","small"
"254","12656",40,5,810.234,"very recent","frequent","very large"
"255","12657",34,4,410.795,"very recent","frequent","large"
"256","12658",41,1,686.05,"recent","very rare","very large"
"257","12659",52,1,91.68,"recent","very rare","small"
"258","12660",34,1,245.1,"very recent","very rare","medium"
"259","12662",23,11,349.98,"very recent","very frequent","large"
"260","12664",31,9,542.431111111111,"very recent","frequent","very large"
"261","12665",347,1,63,"oldest","very rare","small"
"262","12667",81,1,620.13,"old","very rare","very large"
"263","12668",34,4,951.7875,"very recent","frequent","very large"
"264","12669",173,3,914.676666666667,"oldest","rare","very large"
"265","12670",33,5,599.21,"very recent","frequent","very large"
"266","12672",352,1,225.9,"oldest","very rare","medium"
"267","12673",28,2,305.26,"very recent","rare","large"
"268","12674",61,4,492.65,"recent","frequent","very large"
"269","12676",47,6,221.898333333333,"recent","frequent","medium"
"270","12678",65,12,1469.03833333333,"recent","very frequent","very large"
"271","12679",81,4,278.255,"old","frequent","medium"
"272","12680",23,4,215.7025,"very recent","frequent","medium"
"273","12681",37,22,626.706363636364,"very recent","very frequent","very large"
"274","12682",26,31,396.394193548387,"very recent","very frequent","large"
"275","12683",27,15,565.104666666667,"very recent","very frequent","very large"
"276","12684",30,7,326.232857142857,"very recent","frequent","large"
"277","12685",51,6,477.18,"recent","frequent","very large"
"278","12686",394,1,89.14,"oldest","very rare","small"
"279","12688",136,1,4873.81,"old","very rare","very large"
"280","12689",48,2,623.805,"recent","rare","very large"
"281","12690",228,1,389.01,"oldest","very rare","large"
"282","12691",51,6,172.633333333333,"recent","frequent","small"
"283","12693",150,4,213.9775,"old","frequent","medium"
"284","12694",93,2,434.835,"old","rare","very large"
"285","12695",30,4,145.525,"very recent","frequent","small"
"286","12697",51,3,319.196666666667,"recent","rare","large"
"287","12700",30,4,1234.9975,"very recent","frequent","very large"
"288","12701",102,2,398.855,"old","rare","large"
"289","12702",42,1,219,"recent","very rare","medium"
"290","12703",94,1,283.55,"old","very rare","medium"
"291","12704",30,8,292.605,"very recent","frequent","medium"
"292","12705",38,9,763.143333333333,"very recent","frequent","very large"
"293","12707",314,1,603.42,"oldest","very rare","very large"
"294","12708",52,10,271.291,"recent","frequent","medium"
"295","12709",38,15,649.101333333333,"very recent","very frequent","very large"
"296","12710",119,3,383.006666666667,"old","rare","large"
"297","12712",51,13,338.163846153846,"recent","very frequent","large"
"298","12713",23,1,848.55,"very recent","very rare","very large"
"299","12714",32,5,941.772,"very recent","frequent","very large"
"300","12715",129,1,353.86,"old","very rare","large"
"301","12716",26,2,526.745,"very recent","rare","very large"
"302","12717",174,2,515.49,"oldest","rare","very large"
"303","12718",94,1,238.25,"old","very rare","medium"
"304","12719",28,2,322.475,"very recent","rare","large"
"305","12720",25,25,231.2692,"very recent","very frequent","medium"
"306","12721",54,6,442.688333333333,"recent","frequent","very large"
"307","12722",108,4,249.4075,"old","frequent","medium"
"308","12723",26,5,145.014,"very recent","frequent","small"
"309","12724",28,4,257.8525,"very recent","frequent","medium"
"310","12725",394,1,427.8,"oldest","very rare","large"
"311","12726",51,7,372.728571428571,"recent","frequent","large"
"312","12727",33,7,568.671428571429,"very recent","frequent","very large"
"313","12728",94,4,209.0825,"old","frequent","medium"
"314","12729",136,1,453.01,"old","very rare","very large"
"315","12731",46,12,1574.65916666667,"recent","very frequent","very large"
"316","12732",202,1,236.26,"oldest","very rare","medium"
"317","12733",257,1,383.95,"oldest","very rare","large"
"318","12734",375,1,110.4,"oldest","very rare","small"
"319","12735",338,2,389.785,"oldest","rare","large"
"320","12736",355,1,234,"oldest","very rare","medium"
"321","12738",395,1,155.35,"oldest","very rare","small"
"322","12739",101,2,506.52,"old","rare","very large"
"323","12740",86,1,427.6,"old","very rare","large"
"324","12743",157,2,273.215,"old","rare","medium"
"325","12744",74,7,3039.89857142857,"old","frequent","very large"
"326","12747",25,11,381.455454545455,"very recent","very frequent","large"
"327","12748",23,209,161.338421052632,"very recent",NA,"small"
"328","12749",26,5,818.176,"very recent","frequent","very large"
"329","12750",151,1,275.88,"old","very rare","medium"
"330","12752",104,1,4366.78,"old","very rare","very large"
"331","12753",45,6,3571.565,"recent","frequent","very large"
"332","12754",258,3,1003.58,"oldest","rare","very large"
"333","12755",303,2,1905.975,"oldest","rare","very large"
"334","12756",109,1,112.08,"old","very rare","small"
"335","12757",38,13,604.392307692308,"very recent","very frequent","very large"
"336","12758",139,2,1395.795,"old","rare","very large"
"337","12759",75,3,510.48,"old","rare","very large"
"338","12762",30,2,949.26,"very recent","rare","very large"
"339","12763",161,2,247.04,"old","rare","medium"
"340","12764",339,1,1693.88,"oldest","very rare","very large"
"341","12766",26,7,998.518571428571,"very recent","frequent","very large"
"342","12769",261,1,1143.6,"oldest","very rare","very large"
"343","12770",233,1,1351.45,"oldest","very rare","very large"
"344","12772",82,1,892.47,"old","very rare","very large"
"345","12775",40,5,277.208,"very recent","frequent","medium"
"346","12778",42,6,137.038333333333,"recent","frequent","small"
"347","12779",60,8,497.67,"recent","frequent","very large"
"348","12781",86,2,413.37,"old","rare","large"
"349","12782",27,5,466.184,"very recent","frequent","very large"
"350","12783",25,6,370.985,"very recent","frequent","large"
"351","12784",32,2,287.21,"very recent","rare","medium"
"352","12785",387,1,311.95,"oldest","very rare","large"
"353","12787",32,3,154.553333333333,"very recent","rare","small"
"354","12789",88,1,91.85,"old","very rare","small"
"355","12790",215,1,324.92,"oldest","very rare","large"
"356","12791",396,1,192.6,"oldest","very rare","medium"
"357","12792",279,1,400.54,"oldest","very rare","large"
"358","12793",357,2,272.74,"oldest","rare","medium"
"359","12794",76,2,430.205,"old","rare","very large"
"360","12795",41,1,430.48,"recent","very rare","very large"
"361","12797",388,1,254.03,"oldest","very rare","medium"
"362","12798",33,3,2325.68,"very recent","rare","very large"
"363","12802",209,1,427.58,"oldest","very rare","large"
"364","12808",59,3,161.216666666667,"recent","rare","small"
"365","12809",200,1,489.31,"oldest","very rare","very large"
"366","12811",283,3,171.616666666667,"oldest","rare","small"
"367","12812",67,1,229.64,"recent","very rare","medium"
"368","12814",124,1,125.92,"old","very rare","small"
"369","12815",170,2,531.73,"oldest","rare","very large"
"370","12816",118,2,286.1,"old","rare","medium"
"371","12817",304,1,166.04,"oldest","very rare","small"
"372","12818",284,1,1542.08,"oldest","very rare","very large"
"373","12820",26,4,235.585,"very recent","frequent","medium"
"374","12821",237,1,92.72,"oldest","very rare","small"
"375","12822",93,2,474.44,"old","rare","very large"
"376","12823",97,5,351.9,"old","frequent","large"
"377","12824",82,1,397.12,"old","very rare","large"
"378","12826",25,7,210.674285714286,"very recent","frequent","medium"
"379","12827",28,3,143.383333333333,"very recent","rare","small"
"380","12828",25,6,169.785,"very recent","frequent","small"
"381","12829",359,2,146.5,"oldest","rare","small"
"382","12830",60,6,1135.77333333333,"recent","frequent","very large"
"383","12831",285,1,215.05,"oldest","very rare","medium"
"384","12832",55,2,191.515,"recent","rare","medium"
"385","12833",168,1,417.38,"oldest","very rare","large"
"386","12834",305,1,312.38,"oldest","very rare","large"
"387","12836",82,4,653.215,"old","frequent","very large"
"388","12837",196,1,134.1,"oldest","very rare","small"
"389","12838",56,2,341.565,"recent","rare","large"
"390","12839",25,14,399.387142857143,"very recent","very frequent","large"
"391","12840",166,4,681.6925,"oldest","frequent","very large"
"392","12841",27,25,160.894,"very recent","very frequent","small"
"393","12842",93,2,559.495,"old","rare","very large"
"394","12843",88,8,212.7825,"old","frequent","medium"
"395","12844",52,2,162.98,"recent","rare","small"
"396","12845",290,4,88.5225,"oldest","frequent","small"
"397","12847",45,1,871.54,"recent","very rare","very large"
"398","12849",54,2,525.445,"recent","rare","very large"
"399","12851",119,1,135.18,"old","very rare","small"
"400","12852",317,1,311.55,"oldest","very rare","large"
"401","12853",157,6,326.183333333333,"old","frequent","large"
"402","12854",101,3,441.5,"old","rare","very large"
"403","12855",395,1,38.1,"oldest","very rare","small"
"404","12856",30,6,363.321666666667,"very recent","frequent","large"
"405","12857",233,2,553.2,"oldest","rare","very large"
"406","12863",75,1,521.2,"old","very rare","very large"
"407","12864",161,1,147.12,"old","very rare","small"
"408","12865",49,2,784.115,"recent","rare","very large"
"409","12866",306,1,559.12,"oldest","very rare","very large"
"410","12867",49,7,576.688571428571,"recent","frequent","very large"
"411","12868",208,6,267.843333333333,"oldest","frequent","medium"
"412","12871",107,2,190.32,"old","rare","medium"
"413","12872",349,2,299.985,"oldest","rare","large"
"414","12873",305,1,374,"oldest","very rare","large"
"415","12875",166,2,171.615,"oldest","rare","small"
"416","12876",80,2,1109.01,"old","rare","very large"
"417","12877",26,12,127.980833333333,"very recent","very frequent","small"
"418","12878",259,2,427.495,"oldest","rare","large"
"419","12879",67,3,191.073333333333,"recent","rare","medium"
"420","12881",298,1,298,"oldest","very rare","large"
"421","12882",32,2,731.52,"very recent","rare","very large"
"422","12883",47,4,175.8675,"recent","frequent","small"
"423","12884",111,1,309.05,"old","very rare","large"
"424","12885",86,3,391.74,"old","rare","large"
"425","12886",90,2,689.2,"old","rare","very large"
"426","12888",237,2,177.06,"oldest","rare","small"
"427","12890",47,1,380.47,"recent","very rare","large"
"428","12891",208,3,110.333333333333,"oldest","rare","small"
"429","12893",53,1,188.14,"recent","very rare","medium"
"430","12895",65,2,186.4,"recent","rare","medium"
"431","12897",227,2,108.25,"oldest","rare","small"
"432","12901",31,28,630.519285714286,"very recent","very frequent","very large"
"433","12902",287,1,138.68,"oldest","very rare","small"
"434","12904",41,2,254.79,"recent","rare","medium"
"435","12906",34,5,583.962,"very recent","frequent","very large"
"436","12908",199,2,375,"oldest","rare","large"
"437","12909",62,5,435.734,"recent","frequent","very large"
"438","12910",46,8,384.38,"recent","frequent","large"
"439","12912",25,5,332.46,"very recent","frequent","large"
"440","12913",27,5,496.726,"very recent","frequent","very large"
"441","12915",171,2,181.825,"oldest","rare","medium"
"442","12916",161,4,751.5375,"old","frequent","very large"
"443","12917",151,1,594,"old","very rare","very large"
"444","12919",31,6,222.531666666667,"very recent","frequent","medium"
"445","12920",40,1,164.23,"very recent","very rare","small"
"446","12921",32,37,448.29972972973,"very recent","very frequent","very large"
"447","12922",184,1,405.38,"oldest","very rare","large"
"448","12923",87,1,176.97,"old","very rare","small"
"449","12924",111,4,233.425,"old","frequent","medium"
"450","12925",27,2,347.025,"very recent","rare","large"
"451","12928",58,5,412.54,"recent","frequent","large"
"452","12929",334,1,117.85,"oldest","very rare","small"
"453","12930",101,2,207.9,"old","rare","medium"
"454","12931",44,15,2803.73066666667,"recent","very frequent","very large"
"455","12933",47,3,202.51,"recent","rare","medium"
"456","12935",25,7,308.671428571429,"very recent","frequent","large"
"457","12936",40,4,265.975,"very recent","frequent","medium"
"458","12937",38,4,376.0675,"very recent","frequent","large"
"459","12938",48,1,114.14,"recent","very rare","small"
"460","12939",87,8,1447.725,"old","frequent","very large"
"461","12940",77,2,456.77,"old","rare","very large"
"462","12942",154,3,227.966666666667,"old","rare","medium"
"463","12944",58,2,302.255,"recent","rare","large"
"464","12945",311,1,462.95,"oldest","very rare","very large"
"465","12947",166,6,267.331666666667,"oldest","frequent","medium"
"466","12948",39,7,294.992857142857,"very recent","frequent","large"
"467","12949",53,8,520.9025,"recent","frequent","very large"
"468","12950",25,3,614.333333333333,"very recent","rare","very large"
"469","12951",31,6,177.345,"very recent","frequent","small"
"470","12952",28,4,346.9475,"very recent","frequent","large"
"471","12953",32,1,329.85,"very recent","very rare","large"
"472","12955",24,11,432.469090909091,"very recent","very frequent","very large"
"473","12956",329,1,108.07,"oldest","very rare","small"
"474","12957",32,8,502.1925,"very recent","frequent","very large"
"475","12962",30,2,133.195,"very recent","rare","small"
"476","12963",31,8,232.07875,"very recent","frequent","medium"
"477","12965",112,1,771.91,"old","very rare","very large"
"478","12966",32,1,160.18,"very recent","very rare","small"
"479","12967",381,2,830.45,"oldest","rare","very large"
"480","12968",135,1,135.95,"old","very rare","small"
"481","12970",30,4,113.06,"very recent","frequent","small"
"482","12971",26,86,130.11523255814,"very recent","very frequent","small"
"483","12974",220,1,144.8,"oldest","very rare","small"
"484","12976",234,1,738.6,"oldest","very rare","very large"
"485","12977",179,1,39.24,"oldest","very rare","small"
"486","12980",180,9,819.433333333333,"oldest","frequent","very large"
"487","12981",52,2,186.11,"recent","rare","medium"
"488","12982",265,1,390.54,"oldest","very rare","large"
"489","12984",41,1,97.5,"recent","very rare","small"
"490","12985",23,2,619.69,"very recent","rare","very large"
"491","12987",96,2,279.35,"old","rare","medium"
"492","12988",315,1,535.32,"oldest","very rare","very large"
"493","12989",26,15,461.607333333333,"very recent","very frequent","very large"
"494","12990",54,3,136.5,"recent","rare","small"
"495","12991",46,2,251.88,"recent","rare","medium"
"496","12993",46,4,103.69,"recent","frequent","small"
"497","12994",27,3,324.806666666667,"very recent","rare","large"
"498","12995",108,1,211.32,"old","very rare","medium"
"499","12997",45,4,306.7225,"recent","frequent","large"
"500","12999",219,3,151.96,"oldest","rare","small"
"501","13000",129,3,178.283333333333,"old","rare","small"
"502","13001",27,13,755.293846153846,"very recent","very frequent","very large"
"503","13002",341,1,120.95,"oldest","very rare","small"
"504","13003",128,3,49.6833333333333,"old","rare","small"
"505","13004",34,18,314.217222222222,"very recent","very frequent","large"
"506","13005",196,2,256.85,"oldest","rare","medium"
"507","13006",79,1,81.57,"old","very rare","small"
"508","13008",346,1,229.47,"oldest","very rare","medium"
"509","13011",395,1,50.55,"oldest","very rare","small"
"510","13012",32,8,207.73,"very recent","frequent","medium"
"511","13013",24,13,370.072307692308,"very recent","very frequent","large"
"512","13014",33,10,346.628,"very recent","frequent","large"
"513","13015",76,5,669.256,"old","frequent","very large"
"514","13016",96,3,263.296666666667,"old","rare","medium"
"515","13017",30,1,204,"very recent","very rare","medium"
"516","13018",39,28,259.917857142857,"very recent","very frequent","medium"
"517","13021",27,9,290.708888888889,"very recent","frequent","medium"
"518","13023",87,2,344.95,"old","rare","large"
"519","13026",24,5,195.072,"very recent","frequent","medium"
"520","13027",136,6,1152,"old","frequent","very large"
"521","13028",45,2,330.66,"recent","rare","large"
"522","13029",53,3,415.833333333333,"recent","rare","large"
"523","13030",34,2,399.74,"very recent","rare","large"
"524","13032",75,2,505.09,"old","rare","very large"
"525","13033",380,1,190.55,"oldest","very rare","medium"
"526","13034",77,2,321.385,"old","rare","large"
"527","13035",96,2,460.94,"old","rare","very large"
"528","13037",161,3,293.69,"old","rare","medium"
